Date and Time,Currency,Transaction Address,Transaction Id,Receive Amount,Amount,Fees,Status
"Pending","","BCHABC",0.001,0,0.001,"qqnf5p54jjnkt8nzdeq764a0qfzku6n5sqjrj9d03g","2019-05-20 11:55:18"
"Pending","","BTC",0.0001,0.001,-0.0009,"3DPcFtFyAa7eqLL1uaRRkAyK3nBo7pfeQ7","2019-05-20 13:25:01"
"Pending","","DOGE",0.001,0,0.001,"DAMREsiz74KwfCNn8YrRT8aQKS1jsYZBEv","2019-05-20 13:44:53"
"Pending","","BTC",0.0005,0.001,-0.0005,"3DPcFtFyAa7eqLL1uaRRkAyK3nBo7pfeQ7","2019-05-20 13:54:19"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:04:45"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:05:00"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:05:14"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:05:25"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:06:42"
"Pending","","BCHSV",1,0,1,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:06:53"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:11:51"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:12:11"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:12:43"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:13:31"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:13:43"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:17:48"
"Pending","","BCH SV",0.001,0,0.001,"qrcsrnzkl4qvq589uceg06f4808hucu93gyx9xptmt","2019-05-20 14:18:55"
